timestamp_epoch,timestamp_iso,hostname,ap_ip,interface,banda,canal,sinal_dbm
1785094110.636,2026-07-26T16:28:30.637-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094110.950,2026-07-26T16:28:30.952-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094111.262,2026-07-26T16:28:31.263-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094111.574,2026-07-26T16:28:31.576-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094111.886,2026-07-26T16:28:31.888-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094112.198,2026-07-26T16:28:32.199-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094112.510,2026-07-26T16:28:32.512-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094112.822,2026-07-26T16:28:32.823-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094113.133,2026-07-26T16:28:33.134-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-60
1785094113.445,2026-07-26T16:28:33.446-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094113.756,2026-07-26T16:28:33.758-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-69
1785094114.070,2026-07-26T16:28:34.071-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-67
1785094114.383,2026-07-26T16:28:34.384-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-70
1785094114.695,2026-07-26T16:28:34.697-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-69
1785094115.007,2026-07-26T16:28:35.008-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-71
1785094115.320,2026-07-26T16:28:35.321-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-63
1785094115.633,2026-07-26T16:28:35.634-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094115.946,2026-07-26T16:28:35.948-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-69
1785094116.261,2026-07-26T16:28:36.262-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094116.573,2026-07-26T16:28:36.574-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-65
1785094116.886,2026-07-26T16:28:36.887-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-70
1785094117.198,2026-07-26T16:28:37.199-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-67
1785094117.511,2026-07-26T16:28:37.512-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-71
1785094117.824,2026-07-26T16:28:37.825-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-71
1785094118.137,2026-07-26T16:28:38.138-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094118.450,2026-07-26T16:28:38.451-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094118.762,2026-07-26T16:28:38.763-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-65
1785094119.075,2026-07-26T16:28:39.077-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-67
1785094119.388,2026-07-26T16:28:39.389-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094119.701,2026-07-26T16:28:39.703-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-64
